phase,height,psi,theta,alpha1,alpha2,alpha3
1.853539665617978,124.3051394993465,0.0,0.0,25.579973209864654,25.579973209864647,25.579973209864647
1.8849555921538759,124.14348903516519,0.0,0.0,25.262849574745058,25.262849574745058,25.262849574745058
1.9163715186897738,123.96541345669894,0.0,0.0,24.915451106551593,24.91545110655159,24.91545110655159
1.9477874452256718,123.7710885030444,0.0,0.0,24.53860883636559,24.53860883636559,24.53860883636559
1.9792033717615696,123.56070594946968,0.0,0.0,24.13319141445091,24.133191414450906,24.133191414450906
2.0106192982974678,123.33447341815534,0.0,0.0,23.700097306865665,23.700097306865658,23.700097306865658
2.0420352248333655,123.09261417329644,0.0,0.0,23.240247429725834,23.240247429725834,23.240247429725834
2.0734511513692637,122.83536690076761,0.0,0.0,22.754578322818116,22.754578322818116,22.754578322818116
2.1048670779051615,122.56298547256901,0.0,0.0,22.24403593529106,22.244035935291052,22.244035935291052
2.1362830044410597,122.27573869628526,0.0,0.0,21.709570069101062,21.709570069101062,21.709570069101062
2.1676989309769574,121.97391004980483,0.0,0.0,21.152129501718363,21.152129501718363,21.152129501718363
2.199114857512855,121.65779740156158,0.0,0.0,20.57265778888801,20.57265778888801,20.57265778888801
2.230530784048753,121.32771271657458,0.0,0.0,19.97208973125243,19.972089731252428,19.972089731252428
2.261946710584651,120.98398174857631,0.0,0.0,19.351348475359035,19.351348475359035,19.351348475359035
2.293362637120549,120.62694371853304,0.0,0.0,18.71134320978541,18.71134320978541,18.71134320978541
2.324778563656447,120.2569509798747,0.0,0.0,18.05296741046409,18.05296741046409,18.05296741046409
2.356194490192345,119.87436867076458,0.0,0.0,17.37709758534684,17.37709758534684,17.37709758534684
2.3876104167282426,119.47957435375206,0.0,0.0,16.684592466854795,16.684592466854795,16.684592466854795
2.419026343264141,119.0729576431639,0.0,0.0,15.976292600656347,15.976292600656345,15.976292600656345
2.4504422698000385,118.65491982060207,0.0,0.0,15.253020280774344,15.253020280774344,15.253020280774344
2.4818581963359367,118.22587343892708,0.0,0.0,14.515579783464512,14.515579783464512,14.515579783464512
2.5132741228718345,117.78624191511828,0.0,0.0,13.76475785540402,13.764757855404019,13.764757855404019
2.5446900494077327,117.33645911241229,0.0,0.0,13.001324415206765,13.001324415206765,13.001324415206765
2.5761059759436304,116.87696891213244,0.0,0.0,12.226033430930595,12.226033430930594,12.226033430930594
2.6075219024795286,116.4082247756315,0.0,0.0,11.439623939886125,11.439623939886125,11.439623939886125
2.638937829015426,115.93068929678003,0.0,0.0,10.642821180581452,10.642821180581452,10.642821180581452
2.670353755551324,115.44483374544207,0.0,0.0,9.836337809949734,9.836337809949734,9.836337809949734
2.701769682087222,114.95113760238877,0.0,0.0,9.020875182056582,9.020875182056582,9.020875182056582
2.73318560862312,114.45008808610866,0.0,0.0,8.197124667235451,8.19712466723545,8.19712466723545
2.764601535159018,113.94217967198186,0.0,0.0,7.365768993046215,7.365768993046213,7.365768993046213
2.796017461694916,113.4279136042926,0.0,0.0,6.5274835905912125,6.527483590591212,6.527483590591212
2.827433388230814,112.90779740156158,0.0,0.0,5.682937931571698,5.682937931571698,5.682937931571698
2.858849314766712,112.38234435568651,0.0,0.0,4.832796843045995,4.832796843045993,4.832796843045993
2.8902652413026098,111.85207302538495,0.0,0.0,3.977721788182992,3.9777217881829916,3.9777217881829916
2.921681167838508,111.3175067244395,0.0,0.0,3.1183721024221382,3.1183721024221374,3.1183721024221374
2.9530970943744057,110.77917300525019,0.0,0.0,2.2554061753826993,2.2554061753826984,2.2554061753826984
2.9845130209103035,110.23760313820404,0.0,0.0,1.3894825696437512,1.38948256964375,1.38948256964375
3.015928947446201,109.69333158737533,0.0,0.0,0.5212610681710326,0.5212610681710316,0.5212610681710316
3.0473448739820994,109.146895483074,0.0,0.0,-0.3485963572705741,-0.34859635727057514,-0.34859635727057514
3.078760800517997,108.59883409176298,0.0,0.0,-1.2194246638811088,-1.21942466388111,-1.21942466388111
3.1101767270538954,108.04968828386724,0.0,0.0,-2.0905549484671027,-2.090554948467104,-2.090554948467104
3.141592653589793,107.5,0.0,0.0,-2.9613137572110855,-2.9613137572110864,-2.9613137572110864
3.173008580125691,106.95031171613276,0.0,0.0,-3.8310225003576988,-3.831022500357699,-3.831022500357699
3.204424506661589,106.40116590823702,0.0,0.0,-4.698996977111847,-4.6989969771118485,-4.6989969771118485
3.235840433197487,105.85310451692601,0.0,0.0,-5.564547015501267,-5.564547015501268,-5.564547015501268
3.267256359733385,105.30666841262467,0.0,0.0,-6.426976231348876,-6.426976231348876,-6.426976231348876
3.2986722862692828,104.76239686179596,0.0,0.0,-7.285581909816806,-7.285581909816808,-7.285581909816808
3.330088212805181,104.22082699474981,0.0,0.0,-8.139655012218512,-8.139655012218514,-8.139655012218514
3.3615041393410787,103.6824932755605,0.0,0.0,-8.98848030993936,-8.988480309939362,-8.988480309939362
3.392920065876977,103.14792697461503,0.0,0.0,-9.831336646364853,-9.831336646364857,-9.831336646364857
3.4243359924128747,102.61765564431349,0.0,0.0,-10.66749732668663,-10.667497326686632,-10.667497326686632
3.455751918948773,102.09220259843842,0.0,0.0,-11.49623063435315,-11.496230634353152,-11.496230634353152
3.4871678454846706,101.5720863957074,0.0,0.0,-12.316800471760963,-12.316800471760963,-12.316800471760963
3.518583772020569,101.05782032801812,0.0,0.0,-13.12846712156401,-13.12846712156401,-13.12846712156401
3.5499996985564666,100.54991191389134,0.0,0.0,-13.930488123727383,-13.930488123727383,-13.930488123727383
3.5814156250923643,100.04886239761123,0.0,0.0,-14.722119262194587,-14.722119262194587,-14.722119262194587
3.6128315516282625,99.55516625455793,0.0,0.0,-15.50261565379463,-15.502615653794631,-15.502615653794631
3.64424747816416,99.06931070321998,0.0,0.0,-16.271232930818357,-16.27123293081836,-16.27123293081836
3.6756634047000576,98.5917752243685,0.0,0.0,-17.02722850756651,-17.02722850756651,-17.02722850756651
3.707079331235956,98.12303108786756,0.0,0.0,-17.769862920145865,-17.769862920145865,-17.769862920145865
3.7384952577718535,97.66354088758771,0.0,0.0,-18.498401227891343,-18.498401227891346,-18.498401227891346
3.7699111843077517,97.21375808488172,0.0,0.0,-19.212114464047136,-19.21211446404714,-19.21211446404714
3.8013271108436495,96.77412656107292,0.0,0.0,-19.910281122772073,-19.910281122772076,-19.910281122772076
3.8327430373795477,96.34508017939793,0.0,0.0,-20.59218866916386,-20.59218866916386,-20.59218866916386
3.8641589639154454,95.9270423568361,0.0,0.0,-21.25713505883763,-21.25713505883763,-21.25713505883763
3.8955748904513436,95.52042564624794,0.0,0.0,-21.904430253659022,-21.904430253659022,-21.904430253659022
3.9269908169872414,95.12563132923542,0.0,0.0,-22.533397720521183,-22.533397720521183,-22.533397720521183
3.958406743523139,94.7430490201253,0.0,0.0,-23.14337590057256,-23.14337590057256,-23.14337590057256
3.9898226700590373,94.37305628146696,0.0,0.0,-23.733719637034195,-23.733719637034195,-23.733719637034195
4.0212385965949355,94.01601825142369,0.0,0.0,-24.30380155068306,-24.30380155068306,-24.30380155068306
4.052654523130833,93.67228728342542,0.0,0.0,-24.853013353197785,-24.853013353197785,-24.853013353197785
4.084070449666731,93.34220259843842,0.0,0.0,-25.380767089842262,-25.380767089842262,-25.380767089842262
4.115486376202629,93.02608995019517,0.0,0.0,-25.886496304370606,-25.88649630437061,-25.88649630437061
4.1469023027385274,92.72426130371473,0.0,0.0,-26.369657120540438,-26.36965712054044,-26.36965712054044
4.178318229274425,92.43701452743099,0.0,0.0,-26.82972923618438,-26.82972923618438,-26.82972923618438
4.209734155810323,92.16463309923239,0.0,0.0,-27.26621682737575,-27.26621682737575,-27.26621682737575
4.241150082346221,91.90738582670356,0.0,0.0,-27.678649361792548,-27.678649361792548,-27.678649361792548
4.272566008882119,91.66552658184466,0.0,0.0,-28.06658232190183,-28.06658232190183,-28.06658232190183
4.303981935418017,91.43929405053032,0.0,0.0,-28.429597840013592,-28.429597840013592,-28.429597840013592
4.335397861953915,91.2289114969556,0.0,0.0,-28.767305248560287,-28.767305248560298,-28.767305248560298
4.366813788489813,91.03458654330106,0.0,0.0,-29.07934155011597,-29.07934155011597,-29.07934155011597
4.39822971502571,90.85651096483481,0.0,0.0,-29.365371812649727,-29.365371812649727,-29.365371812649727
4.429645641561608,90.6948605006535,0.0,0.0,-29.625089496297594,-29.625089496297598,-29.625089496297598
